concentration_ppb,E_-0.8999,E_-0.8897,E_-0.8795,E_-0.8693,E_-0.8590,E_-0.8488,E_-0.8386,E_-0.8284,E_-0.8182,E_-0.8080,E_-0.7978,E_-0.7876,E_-0.7774,E_-0.7672,E_-0.7570,E_-0.7468,E_-0.7366,E_-0.7263,E_-0.7161,E_-0.7059,E_-0.6957,E_-0.6855,E_-0.6753,E_-0.6651,E_-0.6549,E_-0.6447,E_-0.6345,E_-0.6243,E_-0.6141,E_-0.6039,E_-0.5937,E_-0.5834,E_-0.5732,E_-0.5630,E_-0.5528,E_-0.5426,E_-0.5324,E_-0.5222,E_-0.5120,E_-0.5018,E_-0.4916,E_-0.4814,E_-0.4712,E_-0.4610,E_-0.4507,E_-0.4405,E_-0.4303,E_-0.4201,E_-0.4099,E_-0.3997,E_-0.3895,E_-0.3793,E_-0.3691,E_-0.3589,E_-0.3487,E_-0.3385,E_-0.3283,E_-0.3180,E_-0.3078,E_-0.2976,E_-0.2874,E_-0.2772,E_-0.2670,E_-0.2568,E_-0.2466,E_-0.2364,E_-0.2262,E_-0.2160,E_-0.2058,E_-0.1956,E_-0.1853,E_-0.1751,E_-0.1649,E_-0.1547,E_-0.1445,E_-0.1343,E_-0.1241,E_-0.1139,E_-0.1037,E_-0.0935,E_-0.0833,E_-0.0731,E_-0.0629,E_-0.0526,E_-0.0424,E_-0.0322,E_-0.0220,E_-0.0118,E_-0.0016
0,-6.776,-7.378,-7.427,-7.427,-6.972,-2.324,1.785,5.11,7.97,10.52,12.58,9.46,7.04,5.18,3.49,2.555,1.526,1.008,0.385,0.448,0.623,0.364,0.623,1.253,1.379,1.55,1.911,1.767,1.701,1.552,1.368,1.372,1.134,1.295,0.679,0.64,0.41,0.206,0.115,0.266,0.199,-0.207,0,0.22,0,0.227,0.367,0.56,0.728,1.109,1.4,1.648,1.932,2.152,2.131,2.243,2.051,1.648,1.75,1.536,1.743,1.249,1.253,1.19,1.225,1.449,1.701,1.68,1.732,1.386,1.778,1.54,1.687,1.757,1.582,1.855,2.093,2.327,2.25,3.01,3.11,3.44,3.42,3.91,3.82,4.23,4.07,4.45,4.64
0,-6.422,-6.702,-6.527,-0.906,4.602,9.212,13.182,16.502,18.922,15.142,11.642,8.742,6.762,4.692,3.294,2.202,1.418,0.592,0.368,0.41,0.186,0.333,0.781,0.816,1.194,1.407,1.768,1.362,1.47,1.446,1.187,0.812,0.98,0.76,0.399,0.347,0.161,-0.077,-0.038,0,-0.175,-0.125,-0.164,-0.161,0,0.063,0.259,0.543,0.721,1.323,1.764,1.754,2.093,2.576,2.237,2.209,2.125,1.988,1.673,1.586,1.467,1.341,1.267,1.6,1.537,1.306,1.459,1.523,1.47,1.799,1.673,1.449,1.449,1.715,1.348,1.722,1.96,2.121,2.212,2.387,2.841,2.933,2.902,3.103,3.569,3.355,3.7,3.832,4.142
0,-5.355,-6.146,-6.741,-7.098,-1.337,2.772,6.436,9.426,11.776,13.946,10.846,8.186,6.136,4.506,3.087,2.177,1.386,0.861,0.595,0.546,0.567,0.637,1.092,1.232,1.33,1.487,1.841,1.683,1.568,1.627,1.424,1.071,1.225,0.91,0.773,0.409,0.78,0.343,0.133,0.266,0.14,0.105,0.059,0.147,0,-0.077,0.171,0.36,0.402,0.822,1.393,1.186,1.494,1.631,1.683,1.494,1.904,1.365,1.039,1.183,1.102,0.885,0.724,1.018,0.756,0.805,0.926,1.085,1.057,1.053,1.155,0.854,1.281,1.071,1.312,1.393,1.722,1.697,1.795,2.327,2.866,2.562,2.583,3.276,3.472,3.034,3.57,3.856,3.686
0,-6.433,-6.202,-3.157,3.647,9.459,14.509,18.979,23.979,20.419,16.249,12.739,9.859,7.509,5.399,3.819,2.723,1.82,1.057,0.665,0.651,0.469,0.728,0.98,1.603,1.081,1.928,1.68,1.96,1.641,1.851,1.396,1.256,1.088,1.011,0.836,0.511,0.745,0.213,0.157,0.038,-0.011,0.046,0.014,0.021,0,0.115,0.511,0.416,0.696,1.214,1.624,1.414,2.023,2.117,1.981,1.599,2.17,1.757,1.414,1.554,1.158,1.33,1.109,1.596,1.284,1.242,1.38,1.508,1.484,1.844,2.019,1.669,1.379,2.229,1.599,2.117,2.261,2.919,2.436,3.125,3.423,3.709,3.729,4.069,4.319,4.419,4.529,5.209,4.899
0,-5.82,-6.716,-2.747,1.726,5.606,8.846,11.816,14.286,12.606,10.116,8.086,6.316,5.236,4.286,3.63,3.504,3.791,3.956,4.746,5.916,6.776,7.356,8.116,8.336,7.796,7.356,6.786,5.866,4.926,4.496,3.784,3.066,2.702,2.251,1.687,1.309,1.152,0.672,0.336,0.333,0.203,0.025,-0.014,0.084,0,0.07,0.389,0.434,0.557,0.9,1.068,0.98,1.145,1.218,0.987,0.798,0.84,0.627,0.333,0.385,0.357,0.189,0.228,0.266,0.336,0.312,0.585,0.588,0.604,0.637,0.604,0.464,0.564,0.865,0.881,0.952,1.36,1.577,1.658,1.99,2.317,2.268,2.41,2.739,2.781,2.786,3.234,3.555,3.691
0,-6.398,-6.468,-5.831,-5.942999,-1.484,2.359,5.624,8.474,11.004,13.024,10.334,8.164,6.524,5.244,4.046,3.556,3.409,3.248,3.668,4.644,5.534,6.384,7.584,8.244,8.194,8.104,7.854,6.884,5.984,5.414,4.554,3.731,3.283,2.751,2.121,1.743,1.47,1.043,0.644,0.616,0.399,0.147,0.14,0.168,0,0.056,0.315,0.322,0.336,0.728,0.889,0.896,1.106,1.246,1.05,0.924,1.029,0.819,0.56,0.581,0.553,0.35,0.399,0.386,0.399,0.395,0.696,0.752,0.693,0.868,0.973,0.815,0.882,1.048,1.071,1.101,1.493,1.741,1.797,2.193,2.548,2.551,2.749,3.096,3.141,3.118,3.496,3.719,3.724
0,-5.537,-6.685,-6.587,-6.23,-2.471,2.128,6.005,9.195,11.945,14.725,12.505,9.845,7.925,6.395,4.925,4.325,4.005,3.731,3.945,4.835,5.665,6.415,7.545,8.215,8.095,7.975,7.735,6.815,5.955,5.415,4.715,3.815,3.36,2.968,2.205,1.806,1.568,1.106,0.672,0.574,0.392,0.098,0.126,0.182,0,0.119,0.336,0.406,0.469,0.826,1.085,1.099,1.351,1.568,1.358,1.225,1.344,1.085,0.819,0.84,0.805,0.574,0.623,0.598,0.602,0.758,0.896,0.934,0.812,0.952,1.032,0.861,0.924,0.977,1.043,1.08,1.458,1.68,1.731,2.105,2.467,2.48,2.644,3.015,3.047,3.029,3.402,3.659,3.677
0,-6.72,-6.769,-6.643,-6.167,-1.008,3.15,6.591,9.731,12.421,13.921,11.011,8.631,6.961,5.511,4.461,3.811,3.682,3.605,4.021,5.091,5.941,6.721,7.871,8.351,8.141,8.021,7.591,6.571,5.671,5.181,4.401,3.552,3.146,2.677,2.03,1.645,1.351,0.934,0.511,0.5,0.297,0.035,0.045,0.024,0,0.017,0.301,0.381,0.427,0.794,1.008,1.036,1.218,1.372,1.193,1.015,1.109,0.927,0.647,0.703,0.686,0.483,0.542,0.571,0.63,0.63,0.764,0.945,0.85,1.015,1.12,0.92,0.98,1.057,1.134,1.193,1.631,1.871,1.965,2.348,2.728,2.723,2.907,3.272,3.292,3.286,3.721,4.021,4.071
0,-5.39,-5.894,-6.146,-5.929,-2.506,2.247,6.247,9.817,12.517,15.487,14.457,11.687,9.717,7.997,6.217,5.387,4.747,3.64,3.402,3.241,3.269,3.143,3.493,3.853,3.818,4.487,4.477,4.245,4.249,4.028,3.685,3.122,3.017,2.548,1.788,1.494,1.449,0.962,0.619,0.56,0.339,0.248,0.255,0.241,0,0.052,0.325,0.336,0.203,0.668,0.5,0.619,0.689,0.767,0.92,0.84,0.99,1.057,0.752,0.759,0.681,0.591,0.619,0.64,0.672,0.675,0.952,0.717,0.94,1.015,0.959,0.877,0.882,0.863,0.829,0.797,0.98,1.245,1.301,1.7,2.023,2.03,2.602,2.688,2.712,2.926,3.103,3.257,3.496
0,-6.132,-1.631,4.123,9.171,13.361,17.181,20.401,18.881,15.691,12.981,10.531,8.481,6.781,5.561,4.251,3.374,2.905,2.317,1.883,2.086,1.792,2.03,2.31,2.422,2.636,2.912,2.901,2.688,2.411,2.443,2.054,1.603,1.508,1.295,0.906,0.742,0.605,0.357,0.112,0.185,0.115,-0.049,-0.014,-0.013,0,0.01,0.5,0.287,0.49,0.826,0.969,1.316,1.305,1.464,1.662,1.571,1.59,1.613,1.512,1.473,1.673,1.193,1.361,1.515,1.302,1.487,1.624,1.666,1.659,1.683,1.699,1.563,1.839,1.648,1.574,1.841,1.858,1.974,2.215,2.334,2.665,2.677,2.877,3.071,3.089,3.294,3.509,3.509,3.465
