sample_id,concentration_ppb,source_file,E_-0.8999,E_-0.8897,E_-0.8795,E_-0.8693,E_-0.8590,E_-0.8488,E_-0.8386,E_-0.8284,E_-0.8182,E_-0.8080,E_-0.7978,E_-0.7876,E_-0.7774,E_-0.7672,E_-0.7570,E_-0.7468,E_-0.7366,E_-0.7263,E_-0.7161,E_-0.7059,E_-0.6957,E_-0.6855,E_-0.6753,E_-0.6651,E_-0.6549,E_-0.6447,E_-0.6345,E_-0.6243,E_-0.6141,E_-0.6039,E_-0.5937,E_-0.5834,E_-0.5732,E_-0.5630,E_-0.5528,E_-0.5426,E_-0.5324,E_-0.5222,E_-0.5120,E_-0.5018,E_-0.4916,E_-0.4814,E_-0.4712,E_-0.4610,E_-0.4507,E_-0.4405,E_-0.4303,E_-0.4201,E_-0.4099,E_-0.3997,E_-0.3895,E_-0.3793,E_-0.3691,E_-0.3589,E_-0.3487,E_-0.3385,E_-0.3283,E_-0.3180,E_-0.3078,E_-0.2976,E_-0.2874,E_-0.2772,E_-0.2670,E_-0.2568,E_-0.2466,E_-0.2364,E_-0.2262,E_-0.2160,E_-0.2058,E_-0.1956,E_-0.1853,E_-0.1751,E_-0.1649,E_-0.1547,E_-0.1445,E_-0.1343,E_-0.1241,E_-0.1139,E_-0.1037,E_-0.0935,E_-0.0833,E_-0.0731,E_-0.0629,E_-0.0526,E_-0.0424,E_-0.0322,E_-0.0220,E_-0.0118,E_-0.0016
0ppb_S1,0,Ac TW  0ppb.xlsx,0.224,-0.378,-0.427,-0.427,0.028,4.676,8.785,12.11,14.97,17.52,19.58,16.46,14.04,12.18,10.49,9.555,8.526,8.008,7.385,7.448,7.623,7.364,7.623,8.253,8.379,8.55,8.911,8.767,8.701,8.552,8.368,8.372,8.134,8.295,7.679,7.64,7.41,7.206,7.115,7.266,7.199,6.793,7.0,7.22,7.0,7.227,7.367,7.56,7.728,8.109,8.4,8.648,8.932,9.152,9.131,9.243,9.051,8.648,8.75,8.536,8.743,8.249,8.253,8.19,8.225,8.449,8.701,8.68,8.732,8.386,8.778,8.54,8.687,8.757,8.582,8.855,9.093,9.327,9.25,10.01,10.11,10.44,10.42,10.91,10.82,11.23,11.07,11.45,11.64
0ppb_S2,0,Ac TW  0ppb.xlsx,-0.154,-0.434,-0.259,5.362,10.87,15.48,19.45,22.77,25.19,21.41,17.91,15.01,13.03,10.96,9.562,8.47,7.686,6.86,6.636,6.678,6.454,6.601,7.049,7.084,7.462,7.675,8.036,7.63,7.738,7.714,7.455,7.08,7.248,7.028,6.667,6.615,6.429,6.191,6.23,6.268,6.093,6.143,6.104,6.107,6.268,6.331,6.527,6.811,6.989,7.591,8.032,8.022,8.361,8.844,8.505,8.477,8.393,8.256,7.941,7.854,7.735,7.609,7.535,7.868,7.805,7.574,7.727,7.791,7.738,8.067,7.941,7.717,7.717,7.983,7.616,7.99,8.228,8.389,8.48,8.655,9.109,9.201,9.17,9.371,9.837,9.623,9.968,10.1,10.41
0ppb_S3,0,Ac TW  0ppb.xlsx,1.029,0.238,-0.357,-0.714,5.047,9.156,12.82,15.81,18.16,20.33,17.23,14.57,12.52,10.89,9.471,8.561,7.77,7.245,6.979,6.93,6.951,7.021,7.476,7.616,7.714,7.871,8.225,8.067,7.952,8.011,7.808,7.455,7.609,7.294,7.157,6.793,7.164,6.727,6.517,6.65,6.524,6.489,6.443,6.531,6.384,6.307,6.555,6.744,6.786,7.206,7.777,7.57,7.878,8.015,8.067,7.878,8.288,7.749,7.423,7.567,7.486,7.269,7.108,7.402,7.14,7.189,7.31,7.469,7.441,7.437,7.539,7.238,7.665,7.455,7.696,7.777,8.106,8.081,8.179,8.711,9.25,8.946,8.967,9.66,9.856,9.418,9.954,10.24,10.07
0ppb_S4,0,Ac TW  0ppb.xlsx,-0.112,0.119,3.164,9.968,15.78,20.83,25.3,30.3,26.74,22.57,19.06,16.18,13.83,11.72,10.14,9.044,8.141,7.378,6.986,6.972,6.79,7.049,7.301,7.924,7.402,8.249,8.001,8.281,7.962,8.172,7.717,7.577,7.409,7.332,7.157,6.832,7.066,6.534,6.478,6.359,6.31,6.367,6.335,6.342,6.321,6.436,6.832,6.737,7.017,7.535,7.945,7.735,8.344,8.438,8.302,7.92,8.491,8.078,7.735,7.875,7.479,7.651,7.43,7.917,7.605,7.563,7.701,7.829,7.805,8.165,8.34,7.99,7.7,8.55,7.92,8.438,8.582,9.24,8.757,9.446,9.744,10.03,10.05,10.39,10.64,10.74,10.85,11.53,11.22
0ppb_S5,0,Ac TW  0ppb.xlsx,0.364,-0.532,3.437,7.91,11.79,15.03,18.0,20.47,18.79,16.3,14.27,12.5,11.42,10.47,9.814,9.688,9.975,10.14,10.93,12.1,12.96,13.54,14.3,14.52,13.98,13.54,12.97,12.05,11.11,10.68,9.968,9.25,8.886,8.435,7.871,7.493,7.336,6.856,6.52,6.517,6.387,6.209,6.17,6.268,6.184,6.254,6.573,6.618,6.741,7.084,7.252,7.164,7.329,7.402,7.171,6.982,7.024,6.811,6.517,6.569,6.541,6.373,6.412,6.45,6.52,6.496,6.769,6.772,6.788,6.821,6.788,6.648,6.748,7.049,7.065,7.136,7.544,7.761,7.842,8.174,8.501,8.452,8.594,8.923,8.965,8.97,9.418,9.739,9.875
0ppb_S6,0,Ac TW  0ppb.xlsx,-0.462,-0.532,0.105,-0.006999,4.452,8.295,11.56,14.41,16.94,18.96,16.27,14.1,12.46,11.18,9.982,9.492,9.345,9.184,9.604,10.58,11.47,12.32,13.52,14.18,14.13,14.04,13.79,12.82,11.92,11.35,10.49,9.667,9.219,8.687,8.057,7.679,7.406,6.979,6.58,6.552,6.335,6.083,6.076,6.104,5.936,5.992,6.251,6.258,6.272,6.664,6.825,6.832,7.042,7.182,6.986,6.86,6.965,6.755,6.496,6.517,6.489,6.286,6.335,6.322,6.335,6.331,6.632,6.688,6.629,6.804,6.909,6.751,6.818,6.984,7.007,7.037,7.429,7.677,7.733,8.129,8.484,8.487,8.685,9.032,9.077,9.054,9.432,9.655,9.66
0ppb_S7,0,Ac TW  0ppb.xlsx,0.658,-0.49,-0.392,-0.035,3.724,8.323,12.2,15.39,18.14,20.92,18.7,16.04,14.12,12.59,11.12,10.52,10.2,9.926,10.14,11.03,11.86,12.61,13.74,14.41,14.29,14.17,13.93,13.01,12.15,11.61,10.91,10.01,9.555,9.163,8.4,8.001,7.763,7.301,6.867,6.769,6.587,6.293,6.321,6.377,6.195,6.314,6.531,6.601,6.664,7.021,7.28,7.294,7.546,7.763,7.553,7.42,7.539,7.28,7.014,7.035,7.0,6.769,6.818,6.793,6.797,6.953,7.091,7.129,7.007,7.147,7.227,7.056,7.119,7.172,7.238,7.275,7.653,7.875,7.926,8.3,8.662,8.675,8.839,9.21,9.242,9.224,9.597,9.854,9.872
0ppb_S8,0,Ac TW  0ppb.xlsx,-0.441,-0.49,-0.364,0.112,5.271,9.429,12.87,16.01,18.7,20.2,17.29,14.91,13.24,11.79,10.74,10.09,9.961,9.884,10.3,11.37,12.22,13.0,14.15,14.63,14.42,14.3,13.87,12.85,11.95,11.46,10.68,9.831,9.425,8.956,8.309,7.924,7.63,7.213,6.79,6.779,6.576,6.314,6.324,6.303,6.279,6.296,6.58,6.66,6.706,7.073,7.287,7.315,7.497,7.651,7.472,7.294,7.388,7.206,6.926,6.982,6.965,6.762,6.821,6.85,6.909,6.909,7.043,7.224,7.129,7.294,7.399,7.199,7.259,7.336,7.413,7.472,7.91,8.15,8.244,8.627,9.007,9.002,9.186,9.551,9.571,9.565,10.0,10.3,10.35
0ppb_S9,0,Ac TW  0ppb.xlsx,0.273,-0.231,-0.483,-0.266,3.157,7.91,11.91,15.48,18.18,21.15,20.12,17.35,15.38,13.66,11.88,11.05,10.41,9.303,9.065,8.904,8.932,8.806,9.156,9.516,9.481,10.15,10.14,9.908,9.912,9.691,9.348,8.785,8.68,8.211,7.451,7.157,7.112,6.625,6.282,6.223,6.002,5.911,5.918,5.904,5.663,5.715,5.988,5.999,5.866,6.331,6.163,6.282,6.352,6.43,6.583,6.503,6.653,6.72,6.415,6.422,6.344,6.254,6.282,6.303,6.335,6.338,6.615,6.38,6.603,6.678,6.622,6.54,6.545,6.526,6.492,6.46,6.643,6.908,6.964,7.363,7.686,7.693,8.265,8.351,8.375,8.589,8.766,8.92,9.159
0ppb_S10,0,Ac TW  0ppb.xlsx,-0.343,4.158,9.912,14.96,19.15,22.97,26.19,24.67,21.48,18.77,16.32,14.27,12.57,11.35,10.04,9.163,8.694,8.106,7.672,7.875,7.581,7.819,8.099,8.211,8.425,8.701,8.69,8.477,8.2,8.232,7.843,7.392,7.297,7.084,6.695,6.531,6.394,6.146,5.901,5.974,5.904,5.74,5.775,5.776,5.789,5.799,6.289,6.076,6.279,6.615,6.758,7.105,7.094,7.253,7.451,7.36,7.379,7.402,7.301,7.262,7.462,6.982,7.15,7.304,7.091,7.276,7.413,7.455,7.448,7.472,7.488,7.352,7.628,7.437,7.363,7.63,7.647,7.763,8.004,8.123,8.454,8.466,8.666,8.86,8.878,9.083,9.298,9.298,9.254
