concentration_ppb,V_-0.0016,V_-0.0118,V_-0.0220,V_-0.0322,V_-0.0424,V_-0.0526,V_-0.0629,V_-0.0731,V_-0.0833,V_-0.0935,V_-0.1037,V_-0.1139,V_-0.1241,V_-0.1343,V_-0.1445,V_-0.1547,V_-0.1649,V_-0.1751,V_-0.1853,V_-0.1956,V_-0.2058,V_-0.2160,V_-0.2262,V_-0.2364,V_-0.2466,V_-0.2568,V_-0.2670,V_-0.2772,V_-0.2874,V_-0.2976,V_-0.3078,V_-0.3180,V_-0.3283,V_-0.3385,V_-0.3487,V_-0.3589,V_-0.3691,V_-0.3793,V_-0.3895,V_-0.3997,V_-0.4099,V_-0.4201,V_-0.4303,V_-0.4405,V_-0.4507,V_-0.4610,V_-0.4712,V_-0.4814,V_-0.4916,V_-0.5018,V_-0.5120,V_-0.5222,V_-0.5324,V_-0.5426,V_-0.5528,V_-0.5630,V_-0.5732,V_-0.5834,V_-0.5937,V_-0.6039,V_-0.6141,V_-0.6243,V_-0.6345,V_-0.6447,V_-0.6549,V_-0.6651,V_-0.6753,V_-0.6855,V_-0.6957,V_-0.7059,V_-0.7161,V_-0.7263,V_-0.7366,V_-0.7468,V_-0.7570,V_-0.7672,V_-0.7774,V_-0.7876,V_-0.7978,V_-0.8080,V_-0.8182,V_-0.8284,V_-0.8386,V_-0.8488,V_-0.8590,V_-0.8693,V_-0.8795,V_-0.8897,V_-0.8999,dataset
0.0,4.64,4.45,4.07,4.23,3.82,3.91,3.42,3.44,3.11,3.01,2.25,2.327,2.093,1.855,1.582,1.757,1.687,1.54,1.778,1.386,1.732,1.68,1.701,1.449,1.225,1.19,1.253,1.249,1.743,1.536,1.75,1.648,2.051,2.243,2.131,2.152,1.932,1.648,1.4,1.109,0.728,0.56,0.367,0.227,0,0.22,0.0,-0.207,0.199,0.266,0.115,0.206,0.41,0.64,0.679,1.295,1.134,1.372,1.368,1.552,1.701,1.767,1.911,1.55,1.379,1.253,0.623,0.364,0.623,0.448,0.385,1.008,1.526,2.555,3.49,5.18,7.04,9.46,12.58,10.52,7.97,5.11,1.785,-2.324,-6.972,-7.427,-7.427,-7.378,-6.776,lab
0.0,4.142,3.832,3.7,3.355,3.569,3.103,2.902,2.933,2.841,2.387,2.212,2.121,1.96,1.722,1.348,1.715,1.449,1.449,1.673,1.799,1.47,1.523,1.459,1.306,1.537,1.6,1.267,1.341,1.467,1.586,1.673,1.988,2.125,2.209,2.237,2.576,2.093,1.754,1.764,1.323,0.721,0.543,0.259,0.063,0,-0.161,-0.164,-0.125,-0.175,0.0,-0.038,-0.077,0.161,0.347,0.399,0.76,0.98,0.812,1.187,1.446,1.47,1.362,1.768,1.407,1.194,0.816,0.781,0.333,0.186,0.41,0.368,0.592,1.418,2.202,3.294,4.692,6.762,8.742,11.642,15.142,18.922,16.502,13.182,9.212,4.602,-0.906,-6.527,-6.702,-6.422,lab
0.0,3.686,3.856,3.57,3.034,3.472,3.276,2.583,2.562,2.866,2.327,1.795,1.697,1.722,1.393,1.312,1.071,1.281,0.854,1.155,1.053,1.057,1.085,0.926,0.805,0.756,1.018,0.724,0.885,1.102,1.183,1.039,1.365,1.904,1.494,1.683,1.631,1.494,1.186,1.393,0.822,0.402,0.36,0.171,-0.077,0,0.147,0.059,0.105,0.14,0.266,0.133,0.343,0.78,0.409,0.773,0.91,1.225,1.071,1.424,1.627,1.568,1.683,1.841,1.487,1.33,1.232,1.092,0.637,0.567,0.546,0.595,0.861,1.386,2.177,3.087,4.506,6.136,8.186,10.846,13.946,11.776,9.426,6.436,2.772,-1.337,-7.098,-6.741,-6.146,-5.355,lab
0.0,4.899,5.209,4.529,4.419,4.319,4.069,3.729,3.709,3.423,3.125,2.436,2.919,2.261,2.117,1.599,2.229,1.379,1.669,2.019,1.844,1.484,1.508,1.38,1.242,1.284,1.596,1.109,1.33,1.158,1.554,1.414,1.757,2.17,1.599,1.981,2.117,2.023,1.414,1.624,1.214,0.696,0.416,0.511,0.115,0,0.021,0.014,0.046,-0.011,0.038,0.157,0.213,0.745,0.511,0.836,1.011,1.088,1.256,1.396,1.851,1.641,1.96,1.68,1.928,1.081,1.603,0.98,0.728,0.469,0.651,0.665,1.057,1.82,2.723,3.819,5.399,7.509,9.859,12.739,16.249,20.419,23.979,18.979,14.509,9.459,3.647,-3.157,-6.202,-6.433,lab
0.0,3.691,3.555,3.234,2.786,2.781,2.739,2.41,2.268,2.317,1.99,1.658,1.577,1.36,0.952,0.881,0.865,0.564,0.464,0.604,0.637,0.604,0.588,0.585,0.312,0.336,0.266,0.228,0.189,0.357,0.385,0.333,0.627,0.84,0.798,0.987,1.218,1.145,0.98,1.068,0.9,0.557,0.434,0.389,0.07,0,0.084,-0.014,0.025,0.203,0.333,0.336,0.672,1.152,1.309,1.687,2.251,2.702,3.066,3.784,4.496,4.926,5.866,6.786,7.356,7.796,8.336,8.116,7.356,6.776,5.916,4.746,3.956,3.791,3.504,3.63,4.286,5.236,6.316,8.086,10.116,12.606,14.286,11.816,8.846,5.606,1.726,-2.747,-6.716,-5.82,lab
0.0,3.724,3.719,3.496,3.118,3.141,3.096,2.749,2.551,2.548,2.193,1.797,1.741,1.493,1.101,1.071,1.048,0.882,0.815,0.973,0.868,0.693,0.752,0.696,0.395,0.399,0.386,0.399,0.35,0.553,0.581,0.56,0.819,1.029,0.924,1.05,1.246,1.106,0.896,0.889,0.728,0.336,0.322,0.315,0.056,0,0.168,0.14,0.147,0.399,0.616,0.644,1.043,1.47,1.743,2.121,2.751,3.283,3.731,4.554,5.414,5.984,6.884,7.854,8.104,8.194,8.244,7.584,6.384,5.534,4.644,3.668,3.248,3.409,3.556,4.046,5.244,6.524,8.164,10.334,13.024,11.004,8.474,5.624,2.359,-1.484,-5.942999,-5.831,-6.468,-6.398,lab
0.0,3.677,3.659,3.402,3.029,3.047,3.015,2.644,2.48,2.467,2.105,1.731,1.68,1.458,1.08,1.043,0.977,0.924,0.861,1.032,0.952,0.812,0.934,0.896,0.758,0.602,0.598,0.623,0.574,0.805,0.84,0.819,1.085,1.344,1.225,1.358,1.568,1.351,1.099,1.085,0.826,0.469,0.406,0.336,0.119,0,0.182,0.126,0.098,0.392,0.574,0.672,1.106,1.568,1.806,2.205,2.968,3.36,3.815,4.715,5.415,5.955,6.815,7.735,7.975,8.095,8.215,7.545,6.415,5.665,4.835,3.945,3.731,4.005,4.325,4.925,6.395,7.925,9.845,12.505,14.725,11.945,9.195,6.005,2.128,-2.471,-6.23,-6.587,-6.685,-5.537,lab
0.0,4.071,4.021,3.721,3.286,3.292,3.272,2.907,2.723,2.728,2.348,1.965,1.871,1.631,1.193,1.134,1.057,0.98,0.92,1.12,1.015,0.85,0.945,0.764,0.63,0.63,0.571,0.542,0.483,0.686,0.703,0.647,0.927,1.109,1.015,1.193,1.372,1.218,1.036,1.008,0.794,0.427,0.381,0.301,0.017,0,0.024,0.045,0.035,0.297,0.5,0.511,0.934,1.351,1.645,2.03,2.677,3.146,3.552,4.401,5.181,5.671,6.571,7.591,8.021,8.141,8.351,7.871,6.721,5.941,5.091,4.021,3.605,3.682,3.811,4.461,5.511,6.961,8.631,11.011,13.921,12.421,9.731,6.591,3.15,-1.008,-6.167,-6.643,-6.769,-6.72,lab
0.0,3.496,3.257,3.103,2.926,2.712,2.688,2.602,2.03,2.023,1.7,1.301,1.245,0.98,0.797,0.829,0.863,0.882,0.877,0.959,1.015,0.94,0.717,0.952,0.675,0.672,0.64,0.619,0.591,0.681,0.759,0.752,1.057,0.99,0.84,0.92,0.767,0.689,0.619,0.5,0.668,0.203,0.336,0.325,0.052,0,0.241,0.255,0.248,0.339,0.56,0.619,0.962,1.449,1.494,1.788,2.548,3.017,3.122,3.685,4.028,4.249,4.245,4.477,4.487,3.818,3.853,3.493,3.143,3.269,3.241,3.402,3.64,4.747,5.387,6.217,7.997,9.717,11.687,14.457,15.487,12.517,9.817,6.247,2.247,-2.506,-5.929,-6.146,-5.894,-5.39,lab
0.0,3.465,3.509,3.509,3.294,3.089,3.071,2.877,2.677,2.665,2.334,2.215,1.974,1.858,1.841,1.574,1.648,1.839,1.563,1.699,1.683,1.659,1.666,1.624,1.487,1.302,1.515,1.361,1.193,1.673,1.473,1.512,1.613,1.59,1.571,1.662,1.464,1.305,1.316,0.969,0.826,0.49,0.287,0.5,0.01,0,-0.013,-0.014,-0.049,0.115,0.185,0.112,0.357,0.605,0.742,0.906,1.295,1.508,1.603,2.054,2.443,2.411,2.688,2.901,2.912,2.636,2.422,2.31,2.03,1.792,2.086,1.883,2.317,2.905,3.374,4.251,5.561,6.781,8.481,10.531,12.981,15.691,18.881,20.401,17.181,13.361,9.171,4.123,-1.631,-6.132,lab
