concentration_ppb,E_-0.8999,E_-0.8897,E_-0.8795,E_-0.8693,E_-0.859,E_-0.8488,E_-0.8386,E_-0.8284,E_-0.8182,E_-0.808,E_-0.7978,E_-0.7876,E_-0.7774,E_-0.7672,E_-0.757,E_-0.7468,E_-0.7366,E_-0.7263,E_-0.7161,E_-0.7059,E_-0.6957,E_-0.6855,E_-0.6753,E_-0.6651,E_-0.6549,E_-0.6447,E_-0.6345,E_-0.6243,E_-0.6141,E_-0.6039,E_-0.5937,E_-0.5834,E_-0.5732,E_-0.563,E_-0.5528,E_-0.5426,E_-0.5324,E_-0.5222,E_-0.512,E_-0.5018,E_-0.4916,E_-0.4814,E_-0.4712,E_-0.461,E_-0.4507,E_-0.4405,E_-0.4303,E_-0.4201,E_-0.4099,E_-0.3997,E_-0.3895,E_-0.3793,E_-0.3691,E_-0.3589,E_-0.3487,E_-0.3385,E_-0.3283,E_-0.318,E_-0.3078,E_-0.2976,E_-0.2874,E_-0.2772,E_-0.267,E_-0.2568,E_-0.2466,E_-0.2364,E_-0.2262,E_-0.216,E_-0.2058,E_-0.1956,E_-0.1853,E_-0.1751,E_-0.1649,E_-0.1547,E_-0.1445,E_-0.1343,E_-0.1241,E_-0.1139,E_-0.1037,E_-0.0935,E_-0.0833,E_-0.0731,E_-0.0629,E_-0.0526,E_-0.0424,E_-0.0322,E_-0.022,E_-0.0118,E_-0.0016
11.3,-9.446,-8.907,-7.717,-3.006,1.142,4.872,8.092,10.942,11.822,9.432,7.232,5.422,4.162,3.082,2.032,1.472,1.212,0.742,0.692,1.092,1.202,1.302,1.762,2.032,1.872,1.992,2.182,1.862,1.572,1.772,1.502,1.262,1.262,1.222,0.862,0.792,0.922,0.623,0.42,0.448,0.301,-0.08,0.035,0.196,0,0.161,0.672,0.802,0.942,1.552,1.892,1.952,2.412,2.822,2.702,2.682,3.022,2.842,2.552,2.752,2.822,2.622,2.842,3.282,3.372,3.562,4.362,4.652,4.642,5.002,5.142,4.652,4.472,4.472,4.022,3.602,3.782,3.702,3.442,3.662,3.912,3.732,3.812,4.222,4.182,4.082,4.582,4.832,4.792
4.3,-10.556,-9.961,-7.119,-1.89,2.545,6.635,10.105,13.255,14.205,11.575,9.095,7.025,5.575,4.295,3.135,2.495,2.005,1.445,1.245,1.575,1.585,1.535,2.075,2.325,2.235,2.435,2.545,2.255,2.025,2.105,1.845,1.515,1.455,1.355,0.955,0.815,0.835,0.505,0.115,0.315,0.255,-0.056,0.045,0.215,0,0.155,0.575,0.655,0.795,1.325,1.695,1.775,2.105,2.495,2.375,2.285,2.525,2.365,2.065,2.205,2.185,1.905,2.025,2.075,2.185,2.165,2.575,2.585,2.575,2.565,2.385,2.255,2.165,2.375,2.225,2.135,2.525,2.655,2.615,2.965,3.335,3.275,3.425,3.865,3.905,3.885,4.395,4.745,4.825
8.9,-7.577,-7.542,-4.56,0.844,5.39,9.36,12.91,15.84,15.51,12.53,9.9,7.71,6.12,4.82,3.73,3.17,2.87,2.636,2.825,3.53,4.11,4.6,5.59,6.09,5.99,6.15,6,5.26,4.63,4.33,3.64,2.94,2.643,2.3,1.677,1.407,1.25,0.777,0.476,0.504,0.28,0.049,0.088,0.175,0,0.144,0.511,0.609,0.767,1.285,1.53,1.582,1.88,2.1,1.848,1.782,1.953,1.663,1.453,1.568,1.544,1.323,1.505,1.813,1.792,1.936,2.489,2.636,2.664,2.99,3.13,2.88,2.92,2.86,2.88,2.97,3.05,3.08,2.93,3.25,3.51,3.35,3.51,3.92,3.89,3.86,4.37,4.67,4.69
10,-7.994,-7.049,-8.47,-8.281,-8.4788,-8.589,-8.575,-8.344,-7.602,-2.233,3.498,8.358,12.768,16.788,19.788,16.158,13.388,10.868,9.208,8.738,8.198,7.828,8.448,8.968,9.018,9.558,10.098,9.748,9.418,9.558,8.838,7.868,7.368,6.638,5.468,4.668,4.048,3.158,2.268,1.958,1.372,0.77,0.595,0.42,0,-0.154,-0.063,-0.182,-0.294,-0.042,0.042,-0.035,0.168,0.378,0.28,0.294,0.402,0.567,0.469,0.651,0.735,0.602,0.763,1.036,1.064,1.155,1.648,1.858,1.808,2.128,2.288,2.088,2.048,2.188,1.898,1.708,1.878,1.848,1.658,1.828,2.008,1.878,1.928,2.038,2.218,2.118,2.428,2.538,2.378
14,-9.924,-9.476,-10.253,-10.056999,-9.91,-9.336,-10.218,-8.132,-1.118,5.34,11.03,15.86,20.44,21.53,17.4,14.54,12.37,10.19,8.89,8.7,8.07,7.72,8.25,8.51,8.23,8.63,8.95,8.32,7.95,8.02,7.31,6.39,6.08,5.38,4.3,3.69,3.26,2.33,1.71,1.53,1.07,0.56,0.5,0.44,0,0.04,0.1,0.21,0.15,0.62,0.84,0.72,1.08,1.43,1.32,1.41,1.5,1.69,1.58,1.93,2.01,1.79,2.06,2.48,2.42,2.5,3.15,3.32,3.26,3.63,3.78,3.39,3.39,3.59,3.19,2.94,3.16,3.01,2.68,2.93,3.15,2.87,3.02,3.17,3.41,3.37,3.9,4.11,3.99
14,-11.818,-11.405,-11.741,-11.888,-11.852997,-11.454,-10.551,-11.468,-4.174,2.28,7.77,12.52,17.29,20.23,16.12,13.32,11.2,8.89,7.54,7.23,6.54,6.01,6.57,6.72,6.29,6.75,7.07,6.43,6.14,6.37,5.72,4.88,4.76,4.24,3.18,2.79,2.55,1.8,1.15,1.23,0.82,0.26,0.38,0.44,0,0.17,0.32,0.53,0.57,1.22,1.54,1.53,2.13,2.7,2.55,2.73,3.36,3.33,3.53,3.67,3.75,3.47,3.8,4.31,4.14,4.26,4.6,5.07,4.93,5.35,5.46,4.9,4.9,5.1,4.58,4.24,4.6,4.45,4.1,4.44,4.72,4.35,4.57,5.16,5.08,4.97,5.7,5.97,5.8
14,-7.147,-6.937,-6.377,-7.182,-6.909,-6.951,-6.356,-6.79,0.714,7.733,13.833,18.973,23.893,26.413,21.283,17.433,14.213,11.183,9.313,8.473,7.533,7.103,7.593,7.823,7.753,8.143,8.473,7.973,7.613,7.553,6.883,6.023,5.623,4.643,3.853,3.193,2.744,2.023,1.4,1.218,0.868,0.455,0.378,0.336,0,0.091,0.294,0.28,0.301,0.742,0.7,0.868,1.127,1.379,1.302,1.316,1.638,1.575,1.428,1.61,1.729,1.603,1.785,2.156,2.24,2.38,2.905,3.059,3.055,3.293,3.353,3.073,2.961,3.038,2.723,2.45,2.604,2.418,2.219,2.373,2.541,2.361,2.462,2.737,2.712,2.628,2.901,3.082,3.001
14,-6.03,-5.526,-6.548,-6.212,-6.1,-6.2558,-6.401,-6.31,-5.61,2.146,9.031,14.621,19.971,24.491,24.971,20.491,16.821,13.161,10.711,9.351,7.951,7.211,7.491,7.671,7.561,8.121,8.581,8.141,7.791,7.881,7.161,6.311,5.851,5.151,4.081,3.455,2.884,2.114,1.498,1.243,0.868,0.469,0.343,0.259,0,-0.007,0.006,0.042,-0.014,0.263,0.389,0.399,0.599,0.774,0.767,0.851,1.089,1.064,1.04,1.229,1.309,1.274,1.463,1.764,1.862,2.006,2.52,2.72,2.797,3.052,3.178,2.968,2.909,2.979,2.72,2.489,2.629,2.498,2.307,2.51,2.671,2.587,2.706,2.839,3.031,3.031,3.374,3.551,3.474
5.4,-8.107,-3.312,1.17,5.07,8.66,11.99,13.14,10.92,9.08,7.66,6.19,4.88,4.07,3.3,2.44,1.99,1.62,1.16,0.88,0.88,0.72,0.54,0.71,0.71,0.65,0.71,0.84,0.75,0.82,0.85,0.83,0.78,0.7,0.72,0.52,0.43,0.53,0.32,0.17,0.25,0.21,0.03,0.1,0.03,0,-0.01,0.2,0.13,0.02,0.21,0.27,0.14,0.24,0.21,0.22,0.24,0.46,0.43,0.31,0.46,0.55,0.38,0.48,0.61,0.57,0.53,0.82,0.94,0.87,1.07,1.21,1.11,1.12,1.19,1.3,1.24,1.57,1.65,1.59,1.83,2.12,2.12,2.22,2.62,2.71,2.76,3.14,3.34,3.39
2.8,-8.568,-3.983,0.112,3.966,7.186,10.386,12.896,10.646,8.856,7.456,5.996,4.766,3.916,3.146,2.306,1.806,1.446,0.926,0.636,0.57,0.367,0.136,0.185,0.22,0.091,0.129,0.122,0.154,0.223,0.325,0.29,0.192,0.29,0.367,0.147,0.234,0.29,0.143,0.024,0.206,0.136,0.014,0.108,0.178,0,0.031,0.22,0.192,0.27,0.304,0.364,0.217,0.395,0.525,0.406,0.395,0.626,0.556,0.616,0.626,0.656,0.525,0.626,0.591,0.636,0.766,0.906,0.956,0.876,1.086,1.246,1.136,1.236,1.486,1.456,1.436,1.776,1.886,1.856,2.106,2.396,2.376,2.536,2.916,2.986,3.026,3.456,3.686,3.706
