Concentration,E_-0.8999,E_-0.8897,E_-0.8795,E_-0.8693,E_-0.859,E_-0.8488,E_-0.8386,E_-0.8284,E_-0.8182,E_-0.808,E_-0.7978,E_-0.7876,E_-0.7774,E_-0.7672,E_-0.757,E_-0.7468,E_-0.7366,E_-0.7263,E_-0.7161,E_-0.7059,E_-0.6957,E_-0.6855,E_-0.6753,E_-0.6651,E_-0.6549,E_-0.6447,E_-0.6345,E_-0.6243,E_-0.6141,E_-0.6039,E_-0.5937,E_-0.5834,E_-0.5732,E_-0.563,E_-0.5528,E_-0.5426,E_-0.5324,E_-0.5222,E_-0.512,E_-0.5018,E_-0.4916,E_-0.4814,E_-0.4712,E_-0.461,E_-0.4507,E_-0.4405,E_-0.4303,E_-0.4201,E_-0.4099,E_-0.3997,E_-0.3895,E_-0.3793,E_-0.3691,E_-0.3589,E_-0.3487,E_-0.3385,E_-0.3283,E_-0.318,E_-0.3078,E_-0.2976,E_-0.2874,E_-0.2772,E_-0.267,E_-0.2568,E_-0.2466,E_-0.2364,E_-0.2262,E_-0.216,E_-0.2058,E_-0.1956,E_-0.1853,E_-0.1751,E_-0.1649,E_-0.1547,E_-0.1445,E_-0.1343,E_-0.1241,E_-0.1139,E_-0.1037,E_-0.0935,E_-0.0833,E_-0.0731,E_-0.0629,E_-0.0526,E_-0.0424,E_-0.0322,E_-0.022,E_-0.0118,E_-0.0016
11.3,-0.098,0.441,1.631,6.342,10.49,14.22,17.44,20.29,21.17,18.78,16.58,14.77,13.51,12.43,11.38,10.82,10.56,10.09,10.04,10.44,10.55,10.65,11.11,11.38,11.22,11.34,11.53,11.21,10.92,11.12,10.85,10.61,10.61,10.57,10.21,10.14,10.27,9.971,9.768,9.796,9.649,9.268,9.383,9.544,9.348,9.509,10.02,10.15,10.29,10.9,11.24,11.3,11.76,12.17,12.05,12.03,12.37,12.19,11.9,12.1,12.17,11.97,12.19,12.63,12.72,12.91,13.71,14,13.99,14.35,14.49,14,13.82,13.82,13.37,12.95,13.13,13.05,12.79,13.01,13.26,13.08,13.16,13.57,13.53,13.43,13.93,14.18,14.14
4.3,-0.581,0.014,2.856,8.085,12.52,16.61,20.08,23.23,24.18,21.55,19.07,17,15.55,14.27,13.11,12.47,11.98,11.42,11.22,11.55,11.56,11.51,12.05,12.3,12.21,12.41,12.52,12.23,12,12.08,11.82,11.49,11.43,11.33,10.93,10.79,10.81,10.48,10.09,10.29,10.23,9.919,10.02,10.19,9.975,10.13,10.55,10.63,10.77,11.3,11.67,11.75,12.08,12.47,12.35,12.26,12.5,12.34,12.04,12.18,12.16,11.88,12,12.05,12.16,12.14,12.55,12.56,12.55,12.54,12.36,12.23,12.14,12.35,12.2,12.11,12.5,12.63,12.59,12.94,13.31,13.25,13.4,13.84,13.88,13.86,14.37,14.72,14.8
8.9,-0.427,-0.392,2.59,7.994,12.54,16.51,20.06,22.99,22.66,19.68,17.05,14.86,13.27,11.97,10.88,10.32,10.02,9.786,9.975,10.68,11.26,11.75,12.74,13.24,13.14,13.3,13.15,12.41,11.78,11.48,10.79,10.09,9.793,9.45,8.827,8.557,8.4,7.927,7.626,7.654,7.43,7.199,7.238,7.325,7.15,7.294,7.661,7.759,7.917,8.435,8.68,8.732,9.03,9.25,8.998,8.932,9.103,8.813,8.603,8.718,8.694,8.473,8.655,8.963,8.942,9.086,9.639,9.786,9.814,10.14,10.28,10.03,10.07,10.01,10.03,10.12,10.2,10.23,10.08,10.4,10.66,10.5,10.66,11.07,11.04,11.01,11.52,11.82,11.84
10,0.378,1.323,-0.098,0.091,-0.1068,-0.217,-0.203,0.028,0.77,6.139,11.87,16.73,21.14,25.16,28.16,24.53,21.76,19.24,17.58,17.11,16.57,16.2,16.82,17.34,17.39,17.93,18.47,18.12,17.79,17.93,17.21,16.24,15.74,15.01,13.84,13.04,12.42,11.53,10.64,10.33,9.744,9.142,8.967,8.792,8.372,8.218,8.309,8.19,8.078,8.33,8.414,8.337,8.54,8.75,8.652,8.666,8.774,8.939,8.841,9.023,9.107,8.974,9.135,9.408,9.436,9.527,10.02,10.23,10.18,10.5,10.66,10.46,10.42,10.56,10.27,10.08,10.25,10.22,10.03,10.2,10.38,10.25,10.3,10.41,10.59,10.49,10.8,10.91,10.75
14,0.126,0.574,-0.203,-0.006999,0.14,0.714,-0.168,1.918,8.932,15.39,21.08,25.91,30.49,31.58,27.45,24.59,22.42,20.24,18.94,18.75,18.12,17.77,18.3,18.56,18.28,18.68,19,18.37,18,18.07,17.36,16.44,16.13,15.43,14.35,13.74,13.31,12.38,11.76,11.58,11.12,10.61,10.55,10.49,10.05,10.09,10.15,10.26,10.2,10.67,10.89,10.77,11.13,11.48,11.37,11.46,11.55,11.74,11.63,11.98,12.06,11.84,12.11,12.53,12.47,12.55,13.2,13.37,13.31,13.68,13.83,13.44,13.44,13.64,13.24,12.99,13.21,13.06,12.73,12.98,13.2,12.92,13.07,13.22,13.46,13.42,13.95,14.16,14.04
14,0.042,0.455,0.119,-0.028,0.007003,0.406,1.309,0.392,7.686,14.14,19.63,24.38,29.15,32.09,27.98,25.18,23.06,20.75,19.4,19.09,18.4,17.87,18.43,18.58,18.15,18.61,18.93,18.29,18,18.23,17.58,16.74,16.62,16.1,15.04,14.65,14.41,13.66,13.01,13.09,12.68,12.12,12.24,12.3,11.86,12.03,12.18,12.39,12.43,13.08,13.4,13.39,13.99,14.56,14.41,14.59,15.22,15.19,15.39,15.53,15.61,15.33,15.66,16.17,16,16.12,16.46,16.93,16.79,17.21,17.32,16.76,16.76,16.96,16.44,16.1,16.46,16.31,15.96,16.3,16.58,16.21,16.43,17.02,16.94,16.83,17.56,17.83,17.66
14,-0.28,-0.07,0.49,-0.315,-0.042,-0.084,0.511,0.077,7.581,14.6,20.7,25.84,30.76,33.28,28.15,24.3,21.08,18.05,16.18,15.34,14.4,13.97,14.46,14.69,14.62,15.01,15.34,14.84,14.48,14.42,13.75,12.89,12.49,11.51,10.72,10.06,9.611,8.89,8.267,8.085,7.735,7.322,7.245,7.203,6.867,6.958,7.161,7.147,7.168,7.609,7.567,7.735,7.994,8.246,8.169,8.183,8.505,8.442,8.295,8.477,8.596,8.47,8.652,9.023,9.107,9.247,9.772,9.926,9.922,10.16,10.22,9.94,9.828,9.905,9.59,9.317,9.471,9.285,9.086,9.24,9.408,9.228,9.329,9.604,9.579,9.495,9.768,9.949,9.868
14,0.329,0.833,-0.189,0.147,0.259,0.1032,-0.042,0.049,0.749,8.505,15.39,20.98,26.33,30.85,31.33,26.85,23.18,19.52,17.07,15.71,14.31,13.57,13.85,14.03,13.92,14.48,14.94,14.5,14.15,14.24,13.52,12.67,12.21,11.51,10.44,9.814,9.243,8.473,7.857,7.602,7.227,6.828,6.702,6.618,6.359,6.352,6.365,6.401,6.345,6.622,6.748,6.758,6.958,7.133,7.126,7.21,7.448,7.423,7.399,7.588,7.668,7.633,7.822,8.123,8.221,8.365,8.879,9.079,9.156,9.411,9.537,9.327,9.268,9.338,9.079,8.848,8.988,8.857,8.666,8.869,9.03,8.946,9.065,9.198,9.39,9.39,9.733,9.91,9.833
5.4,2.513,7.308,11.79,15.69,19.28,22.61,23.76,21.54,19.7,18.28,16.81,15.5,14.69,13.92,13.06,12.61,12.24,11.78,11.5,11.5,11.34,11.16,11.33,11.33,11.27,11.33,11.46,11.37,11.44,11.47,11.45,11.4,11.32,11.34,11.14,11.05,11.15,10.94,10.79,10.87,10.83,10.65,10.72,10.65,10.62,10.61,10.82,10.75,10.64,10.83,10.89,10.76,10.86,10.83,10.84,10.86,11.08,11.05,10.93,11.08,11.17,11,11.1,11.23,11.19,11.15,11.44,11.56,11.49,11.69,11.83,11.73,11.74,11.81,11.92,11.86,12.19,12.27,12.21,12.45,12.74,12.74,12.84,13.24,13.33,13.38,13.76,13.96,14.01
2.8,0.826,5.411,9.506,13.36,16.58,19.78,22.29,20.04,18.25,16.85,15.39,14.16,13.31,12.54,11.7,11.2,10.84,10.32,10.03,9.964,9.761,9.53,9.579,9.614,9.485,9.523,9.516,9.548,9.617,9.719,9.684,9.586,9.684,9.761,9.541,9.628,9.684,9.537,9.418,9.6,9.53,9.408,9.502,9.572,9.394,9.425,9.614,9.586,9.664,9.698,9.758,9.611,9.789,9.919,9.8,9.789,10.02,9.95,10.01,10.02,10.05,9.919,10.02,9.985,10.03,10.16,10.3,10.35,10.27,10.48,10.64,10.53,10.63,10.88,10.85,10.83,11.17,11.28,11.25,11.5,11.79,11.77,11.93,12.31,12.38,12.42,12.85,13.08,13.1
