sample_id,concentration_ppb,source_file,Ip_corr,Ep,Area_peak,Peak_to_bg,Slope_rise,Slope_fall,Symmetry,dIdE_max,d2IdE2_max,Mean,Var,Skew,Kurtosis,Energy
0ppb_S1,0,Ac TW  0ppb.xlsx,3.046,-0.0833,0.44059737,2.345313992,6.498965585,-51.56862745,-0.126025568,26.30392157,744.9058055,1.787192,0.256199019,0.980720952,3.161942961,86.2563566
0ppb_S2,0,Ac TW  0ppb.xlsx,2.655,-0.0833,0.41495074,2.036042945,4.941242415,-45.08823529,-0.109590504,26.29411765,761.7262591,1.680248,0.14977578,0.923843928,3.518208511,74.32522804
0ppb_S3,0,Ac TW  0ppb.xlsx,2.4266,-0.0833,0.31548698,2.774779308,6.061659958,-40.41176471,-0.149997408,24.39215686,647.8277586,1.282128,0.233507232,1.001469252,2.795888909,46.933986
0ppb_S4,0,Ac TW  0ppb.xlsx,3.2844,-0.0833,0.45823589,2.795614722,8.670027548,-54.51960784,-0.15902586,27.76470588,1095.251826,1.856288,0.406883923,0.713464792,2.597422187,96.31722656
0ppb_S5,0,Ac TW  0ppb.xlsx,2.1286,-0.0833,0.20706874,8.023974668,7.590789012,-35.76470588,-0.212242456,24.25490196,632.9296424,0.844088,0.346479911,0.835862393,2.341701657,26.47411156
0ppb_S6,0,Ac TW  0ppb.xlsx,2.3676,-0.0833,0.25191928,5.617348391,7.953064219,-39.11764706,-0.203311416,25.18627451,579.5847751,1.02576,0.366571338,0.776296312,2.376911684,35.46887288
0ppb_S7,0,Ac TW  0ppb.xlsx,2.2854,-0.0833,0.27182278,3.614995255,6.28222996,-37.60784314,-0.167045739,24.00980392,583.4294502,1.105832,0.247414505,0.981126708,2.779107056,36.75697292
0ppb_S8,0,Ac TW  0ppb.xlsx,2.5342,-0.0833,0.28464471,4.688448161,7.927438223,-42.28431373,-0.187479411,26.95098039,677.6239908,1.157448,0.367938554,0.843868588,2.52980017,42.69061068
0ppb_S9,0,Ac TW  0ppb.xlsx,1.9312,-0.0833,0.23792419,3.246805649,4.353867313,-29.42156863,-0.147982161,23.59803922,622.8373702,0.968064,0.134999023,1.09799573,3.431730325,26.80367328
0ppb_S10,0,Ac TW  0ppb.xlsx,2.5536,-0.0833,0.41876187,1.996247655,4.847971431,-44.59803922,-0.10870369,25.03921569,525.2787389,1.693056,0.123901816,0.477008685,3.44155143,74.75851088
0ppb_S11,0,Ac TW  0ppb.xlsx,2.4306,-0.0833,0.37738626,2.585414628,6.121491311,-40.91176471,-0.149626675,19.90196078,502.2106882,1.52448,0.179036144,0.048467211,2.584346784,62.57688536
0ppb_S12,0,Ac TW  0ppb.xlsx,2.0958,-0.0833,0.30126981,2.452260601,4.222038716,-32.89215686,-0.128360044,21.79411765,509.4194541,1.222248,0.113507716,0.903609691,3.46921574,40.18494724
0ppb_S13,0,Ac TW  0ppb.xlsx,2.1606,-0.0833,0.24317669,4.205793039,6.510763412,-35.85294118,-0.181596354,22.2745098,617.0703576,0.989648,0.26164729,0.920776928,2.531566044,31.02626136
0ppb_S14,0,Ac TW  0ppb.xlsx,3.2596,-0.0833,0.47963237,2.47622231,7.468830697,-58.17647059,-0.128382327,27.31372549,701.6532103,1.940128,0.315007475,0.791908385,3.07244449,101.9776033
0ppb_S15,0,Ac TW  0ppb.xlsx,2.536,-0.0833,0.3878798,2.505037734,5.867273646,-41.16666667,-0.142524866,21.79411765,593.041138,1.5684,0.174358576,0.259623586,2.984279737,65.8559284
0ppb_S16,0,Ac TW  0ppb.xlsx,2.321,-0.0833,0.33400928,2.618811211,5.47380962,-37.2745098,-0.146851284,20.80392157,499.3271819,1.35328,0.15973855,0.594320516,2.903754962,49.77763272
0ppb_S17,0,Ac TW  0ppb.xlsx,2.5204,-0.0833,0.3281678,3.363762545,6.782457515,-41.18627451,-0.164677616,23.28431373,435.8900423,1.329968,0.257892089,0.727601718,2.761973944,50.66767424
0ppb_S18,0,Ac TW  0ppb.xlsx,2.8194,-0.0833,0.49283545,1.902531851,5.097301902,-47.52941176,-0.107245213,32.2745098,562.283737,1.989136,0.136537039,-0.264501171,3.887671922,102.3299766
0ppb_S19,0,Ac TW  0ppb.xlsx,3.1198,-0.0833,0.44873421,2.769217113,8.096106133,-51.51960784,-0.157146113,24.74509804,590.1576317,1.81636,0.328911002,0.487204477,2.586981366,90.70186628
0ppb_S20,0,Ac TW  0ppb.xlsx,3.4582,-0.0833,0.5187177,2.395074383,7.777120045,-60.28431373,-0.129007358,29.61764706,677.1434064,2.09836,0.329389603,0.707244756,3.080368285,118.3126073
